DrawNo,Number1,Number2,Number3,Number4,Number5,Number6,Bonus,1st Prize,2nd Prize,3rd Prize,4th Prize,5th Prize
286,1,15,19,40,42,44,17,9709698900,3236566300,1618283151,59936413,1618283338
287,6,12,24,27,35,37,41,9300599700,1328657100,1550099978,41894594,1550100370
288,1,12,17,28,35,41,10,9429046200,2357261550,1571507712,65479488,1571508576
289,3,14,33,37,38,42,10,0,0,1530280656,63761694,1530281212
290,8,13,18,32,39,45,7,27939787512,2149214424,3126350650,51251650,3126352523
291,3,7,8,18,20,42,45,10154096400,1450585200,1692349425,43393575,1692349566
292,17,18,31,32,33,34,10,10085235300,720373950,1680872556,45428988,1680873264
293,1,9,17,21,29,33,24,9940586400,1656764400,1656764403,78893543,1656765488
294,6,10,17,30,37,38,40,9626019900,2406504975,1604336656,61705256,1604337699
295,1,4,12,16,18,38,8,0,0,1637216750,62969875,1637217691
296,3,8,15,27,30,45,44,24528706200,3066088275,2450900995,46243415,2450901998
297,6,11,19,20,28,32,34,10113337500,5056668750,1685556264,60198438,1685556375
298,5,9,27,29,37,40,19,9909778500,9909778500,1651629760,41290744,1651630101
299,1,3,20,25,36,45,24,10386407703,1483772529,1731067971,59691999,1731068716
300,7,9,10,12,26,38,39,10033109100,836092425,1672184872,49181908,1672185552
301,7,11,13,33,37,43,26,10131695105,1447385015,1688615859,35927997,1688616283
302,13,19,20,32,38,42,4,10944334500,5472167250,1824055772,41455813,1824056010
303,2,14,17,30,38,45,43,10036494000,1672749000,1672749000,57681000,1672749528
304,4,10,16,26,33,41,38,9969876900,1661646150,1661646172,44909356,1661646500
305,7,8,18,21,23,39,9,10041050700,2008210140,1673508458,49220837,1673509410
306,4,18,23,30,34,41,19,10513347600,2102669520,1752224617,76183679,1752224732
307,5,15,21,23,25,45,12,10350573000,2587643250,1725095512,61610554,1725095944
308,14,15,17,19,37,45,40,10232872800,10232872800,1705478814,63165882,1705479432
309,1,2,5,11,18,36,22,9917852406,901622946,1652975400,66119016,1652975490
310,1,5,19,28,34,41,16,10373706600,1296713325,1728951116,59619004,1728951096
311,4,12,24,27,28,32,10,9901528504,1237691063,1650254774,38378018,1650254976
312,2,3,5,6,12,20,25,9435267300,629017820,1572544604,27112838,1572545088
313,9,17,34,35,43,45,2,10292536800,1715422800,1715422800,65977800,1715423360
314,15,17,19,34,38,41,2,9963073200,1660512200,1660512216,69188009,1660512348
315,1,13,33,35,43,45,23,10469829000,1308728625,1744971520,54530360,1744971902
316,10,11,21,27,31,39,43,10041518400,1673586400,1673586404,57709876,1673587740
317,3,10,11,22,36,39,8,10305034200,2576258550,1717505700,68700228,1717506624
318,2,17,19,20,34,45,21,10866929400,1207436600,1811154912,64684104,1811155261
319,5,8,22,28,33,42,37,10678296900,2135659380,1779716172,68450622,1779716485
320,16,19,23,25,41,45,3,11026135800,5513067900,1837689300,73507572,1837690271
321,12,18,20,21,25,34,42,11754816600,1959136100,1959136130,55975318,1959137224
322,9,18,29,32,38,43,20,11427268200,1904544700,1904544724,65673956,1904545415
323,10,14,15,32,36,42,3,11688203104,1461025388,1948033854,72149402,1948034850
324,2,4,21,25,33,36,17,11190782100,1865130350,1865130360,46628259,1865130608
325,7,17,20,32,44,45,33,10836734700,1806122450,1806122472,54730984,1806123180
326,16,23,25,33,36,39,40,10992807300,1832134550,1832134565,59101115,1832135310
327,6,12,13,17,32,44,24,10592097000,882674750,1765349508,45265372,1765350234
328,1,6,9,16,17,28,24,10918775400,1819795900,1819795920,60659864,1819796340
329,9,17,19,30,35,42,4,10982347200,1830391200,1830391200,55466400,1830391425
330,3,4,16,17,19,20,23,10460521800,1162280200,1743420320,54481885,1743421644
331,4,9,14,26,31,44,39,10829513100,2165902620,1804918860,40109308,1804919025
332,16,17,34,36,42,45,3,10875587104,1359448388,1812597884,48989132,1812598164
333,5,14,27,30,39,43,35,10856910001,1550987143,1809485028,50263473,1809486315
334,13,15,21,29,39,43,33,10661020804,1523002972,1776836827,57317317,1776837330
335,5,9,16,23,26,45,21,10187462400,2037492480,1697910424,60639658,1697911566
336,3,5,20,34,35,44,16,10113795900,1685632650,1685632650,56187755,1685632809
337,1,5,14,18,32,37,4,10060004104,1257500513,1676667366,50808102,1676668530
