region,price,area,purpose
1,450000000,1,2
1,1950000000,3,1
1,4450000000,5,1
1,830000000,2,3
1,2440000000,4,1
1,680000000,2,3
1,4950000000,5,1
1,1930000000,3,1
1,2250000000,4,1
1,4000000000,5,1
1,4770000000,5,1
1,2460000000,4,1
1,135000000,1,2
1,1780000000,3,1
1,855000000,2,3
1,445000000,1,3
1,179000000,1,2
1,1900000000,3,1
1,2470000000,4,1
1,6400000000,5,1
1,430000000,1,2
1,2585000000,4,1
1,5500000000,5,1
1,1609560000,3,1
1,4900000000,5,1
1,3300000000,4,1
1,1945000000,3,1
1,173000000,1,2
1,735000000,2,3
1,3620000000,5,1
1,2100000000,4,1
1,2470000000,4,1
1,2500000000,4,1
1,3200000000,4,1
1,5250000000,5,1
1,2450000000,4,1
1,1590000000,3,1
1,2250000000,4,1
1,2800000000,4,1
1,1750000000,3,3
1,5170000000,5,1
1,2900000000,4,1
1,1850000000,3,1
1,308000000,1,2
1,3850000000,5,1
1,1001000000,2,1
1,920000000,2,1
1,2200000000,4,1
1,390000000,1,1
1,2980000000,4,1
1,5250000000,5,1
1,1693770000,3,2
1,3330000000,4,1
1,2400000000,4,1
1,1625000000,3,1
1,1640000000,3,1
1,650000000,2,3
1,1770000000,3,1
1,887000000,2,1
1,633000000,2,2
1,1985000000,3,1
1,1820000000,3,1
1,2900000000,4,1
1,2330000000,4,1
1,595000000,2,3
1,920000000,2,1
1,3080000000,4,1
1,1590000000,3,1
1,840000000,2,1
1,1760000000,3,1
1,1580000000,3,1
1,4000000000,5,1
1,2800000000,4,1
1,1560000000,3,1
1,877000000,2,1
1,6400000000,5,1
1,2210000000,4,1
1,2720000000,4,1
1,6800000000,5,4
1,3250000000,4,1
1,2130000000,4,1
1,2660000000,4,1
1,2040000000,4,1
1,4170000000,5,1
1,2800000000,4,1
1,2280000000,4,1
1,1900000000,3,1
1,400000000,1,3
1,2050000000,4,1
1,1700000000,3,1
1,2000000000,3,1
1,400000000,1,3
1,2100000000,4,1
1,1595000000,3,1
1,1325000000,3,1
1,1600000000,3,1
1,850000000,2,1
1,2600000000,4,1
1,2650000000,4,1
1,1340000000,3,1
1,2150000000,4,1
1,1290000000,3,1
1,1050000000,2,1
1,1640000000,3,1
1,1510000000,3,1
1,1500000000,3,1
1,2100000000,4,1
1,200000000,1,2
1,1850000000,3,3
1,1690000000,3,1
1,1985000000,3,1
1,2230000000,4,1
1,380000000,1,2
1,375000000,1,1
1,2500000000,4,1
1,2730000000,4,1
1,2470000000,4,1
1,2620000000,4,1
1,1550000000,3,1
1,315000000,1,2
1,3100000000,4,1
1,1975000000,3,1
1,290000000,1,2
1,1300000000,3,1
1,1330080000,3,1
1,3830000000,5,1
1,500000000,1,3
1,4350000000,5,1
1,1350000000,3,1
1,2580000000,4,1
1,1000000000,2,1
1,420000000,1,2
1,5880000000,5,1
1,935000000,2,1
1,2550000000,4,1
1,3900000000,5,1
1,3100000000,4,1
1,5050000000,5,1
1,5650000000,5,1
1,935000000,2,1
1,5300000000,5,1
1,2300000000,4,1
1,470000000,1,3
1,1630000000,3,1
1,212000000,1,2
1,224000000,1,3
1,1249500000,3,1
1,350000000,1,3
1,560000000,2,3
1,2645000000,4,1
1,240000000,1,1
1,3490000000,4,1
1,3200000000,4,1
1,1800000000,3,1
1,2750000000,4,1
1,1700000000,3,1
1,468000000,1,3
1,2400000000,4,1
1,1180000000,2,1
1,1950000000,3,1
1,650000000,2,3
1,3550000000,5,1
1,1320000000,3,1
1,3300000000,4,1
1,2207000000,4,1
1,3300000000,4,1
1,3990000000,5,1
1,2700000000,4,1
1,2640000000,4,1
1,1570000000,3,1
1,3350000000,4,1
1,9500000000,5,4
1,2600000000,4,1
1,2950000000,4,1
1,317000000,1,2
1,8000000000,5,4
1,1990000000,3,1
1,2430000000,4,1
1,2415000000,4,1
1,1190000000,2,1
1,3300000000,4,1
1,2200000000,4,1
1,1800000000,3,1
1,1530000000,3,1
1,2400000000,4,1
1,2500000000,4,1
1,180000000,1,3
1,1140000000,2,1
1,1860000000,3,1
1,2195000000,4,1
1,1652400000,3,1
1,3090000000,4,1
1,2150000000,4,1
1,1630000000,3,1
1,3670000000,5,1
1,2100000000,4,1
1,2450000000,4,1
1,1935000000,3,1
1,2150000000,4,1
1,2300000000,4,1
1,5500000000,5,1
1,2210000000,4,1
1,3000000000,4,1
1,4950000000,5,4
1,2100000000,4,1
1,1900000000,3,1
1,1870000000,3,1
1,3680000000,5,1
1,630000000,2,3
1,2140000000,4,1
1,400000000,1,1
1,3900000000,5,1
1,825000000,2,3
1,990000000,2,1
1,2710000000,4,1
1,670000000,2,1
1,1495000000,3,1
1,1850000000,3,1
1,161000000,1,2
1,925000000,2,1
1,1950000000,3,1
1,1005000000,2,1
1,3100000000,4,1
1,1350000000,3,1
1,5550000000,5,1
1,730000000,2,1
1,860000000,2,1
1,2000000000,3,1
1,1865000000,3,1
1,2700000000,4,1
1,2700000000,4,1
1,2300000000,4,1
1,3150000000,4,1
1,1750000000,3,1
1,400000000,1,1
1,950000000,2,1
1,530000000,2,2
1,3600000000,5,1
1,2060000000,4,1
1,1452000000,3,1
1,2550000000,4,1
1,2900000000,4,1
1,1620000000,3,1
1,290000000,1,2
1,4290000000,5,1
1,1900000000,3,1
1,980000000,2,1
1,3950000000,5,1
1,5200000000,5,1
1,2470000000,4,1
1,2950000000,4,1
1,275000000,1,2
1,2250000000,4,1
1,1530000000,3,1
1,2530000000,4,1
1,850000000,2,1
1,1280000000,3,1
1,2970000000,4,1
1,845000000,2,3
1,6700000000,5,4
1,1940000000,3,1
1,6400000000,5,1
1,330000000,1,1
1,1420000000,3,1
1,1800000000,3,1
1,300000000,1,2
1,1140000000,2,1
1,2100000000,4,3
1,2635000000,4,1
1,2000000000,3,1
1,2450000000,4,1
1,2980000000,4,1
1,2100000000,4,1
1,2500000000,4,1
1,3900000000,5,1
1,3160000000,4,1
1,3080000000,4,1
1,3950000000,5,1
1,2100000000,4,1
1,868000000,2,1
1,3900000000,5,1
1,285000000,1,2
1,1340000000,3,1
1,1660000000,3,1
1,300000000,1,1
1,3300000000,4,1
1,3050000000,4,1
1,388000000,1,2
1,1250000000,3,1
1,1280000000,3,1
1,2230000000,4,1
1,2400000000,4,1
1,1890000000,3,1
1,2510000000,4,1
1,480000000,1,3
1,2040000000,4,1
1,205000000,1,2
1,3100000000,4,1
1,3100000000,4,1
1,255000000,1,2
1,2180000000,4,1
1,615000000,2,2
1,1770000000,3,1
1,432000000,1,3
1,397000000,1,3
1,2190000000,4,1
1,1900000000,3,1
1,2900000000,4,1
1,197000000,1,2
1,1070000000,2,1
1,2100000000,4,1
1,1090000000,2,1
1,2680000000,4,1
1,3100000000,4,1
1,300000000,1,3
1,3800000000,5,1
1,2400000000,4,1
1,275000000,1,1
1,2700000000,4,1
1,2500000000,4,1
1,3675000000,5,1
1,2700000000,4,1
1,3690000000,5,1
1,1730000000,3,1
1,4550000000,5,1
1,400000000,1,1
1,1400000000,3,1
1,400000000,1,2
1,3120000000,4,1
1,2500000000,4,1
1,2930000000,4,1
1,6000000000,5,3
1,2190000000,4,1
1,2230000000,4,1
1,1239000000,3,1
1,2770000000,4,1
1,1140000000,2,1
1,2650000000,4,1
1,1085000000,2,1
1,1280000000,3,1
1,3350000000,4,1
1,2300000000,4,1
1,4280000000,5,1
1,2680000000,4,1
1,2930000000,4,1
1,2450000000,4,1
1,3200000000,4,3
1,403000000,1,1
1,2220000000,4,1
1,600000000,2,3
1,9600000000,5,4
1,8750000000,5,4
1,1480000000,3,1
1,1380000000,3,1
1,4080000000,5,1
1,2260000000,4,1
1,2250000000,4,1
1,4950000000,5,1
1,930000000,2,2
1,2750000000,4,1
1,410000000,1,2
1,910000000,2,1
1,2580000000,4,1
1,3200000000,4,1
1,299000000,1,1
1,6800000000,5,1
1,240000000,1,2
1,2170000000,4,1
1,5000000000,5,1
1,477000000,1,2
1,210000000,1,2
1,570000000,2,3
1,272000000,1,2
1,1230000000,3,1
1,1400000000,3,1
1,1950000000,3,1
1,268000000,1,2
1,1860000000,3,1
1,1148000000,2,1
1,2010000000,4,1
1,1250000000,3,1
1,2380000000,4,1
1,1500000000,3,1
1,3025000000,4,1
1,2495000000,4,1
1,2195000000,4,1
1,3975000000,5,1
1,3100000000,4,1
1,3105000000,4,1
1,1255000000,3,1
1,2090000000,4,1
1,1280000000,3,1
1,3100000000,4,1
1,480000000,1,1
1,3440000000,4,1
1,6000000000,5,1
1,4750000000,5,4
1,1350000000,3,1
1,2850000000,4,1
1,680000000,2,1
1,1075000000,2,1
1,2550000000,4,1
1,3460000000,4,1
1,2300000000,4,1
1,3470000000,4,1
1,1530000000,3,1
1,2040000000,4,1
1,1615000000,3,1
1,5350000000,5,1
1,9000000000,5,1
1,1640000000,3,1
1,2620000000,4,1
1,2500000000,4,1
1,2940000000,4,1
1,3430000000,4,1
1,1360000000,3,1
1,1880000000,3,1
1,2510000000,4,1
1,1950000000,3,1
1,2020000000,4,1
1,1950000000,3,1
1,930000000,2,1
1,1050000000,2,1
1,1645000000,3,1
1,3600000000,5,1
1,4370000000,5,1
1,245000000,1,2
1,3375000000,4,1
1,1510000000,3,1
1,2390000000,4,1
1,2210000000,4,1
1,2810000000,4,1
1,1900000000,3,1
1,2080000000,4,1
1,2670000000,4,1
1,1780000000,3,1
1,420000000,1,1
1,1740000000,3,1
1,2015000000,4,1
1,2577500000,4,1
1,3760000000,5,1
1,1108000000,2,1
1,2400000000,4,1
1,2330000000,4,1
1,5450000000,5,1
1,6100000000,5,1
1,320000000,1,2
1,1520000000,3,1
1,1597000000,3,1
1,1475000000,3,1
1,3640000000,5,1
1,2210000000,4,1
1,2100000000,4,1
1,192000000,1,2
1,3020000000,4,1
1,1500000000,3,1
1,2190000000,4,1
1,2270000000,4,1
1,3240000000,4,1
1,860000000,2,1
1,970000000,2,1
1,980000000,2,1
1,1430000000,3,1
1,225000000,1,2
1,4820000000,5,1
1,917600000,2,3
1,967700000,2,3
1,967700000,2,3
1,983520000,2,3
1,983520000,2,3
1,936060000,2,3
1,1046800000,2,3
1,994070000,2,3
1,1046800000,2,3
1,1070530000,2,3
1,1070530000,2,3
1,1015160000,2,3
1,2400000000,4,1
1,2580000000,4,1
1,590000000,2,3
1,2700000000,4,1
1,480000000,1,2
1,1335000000,3,1
1,3700000000,5,1
1,204000000,1,2
1,480000000,1,3
1,220000000,1,2
1,2180000000,4,1
1,2150000000,4,1
1,6810000000,5,1
1,2350000000,4,1
1,5480000000,5,1
1,1700000000,3,1
1,5190000000,5,1
1,220000000,1,2
1,830000000,2,1
1,4200000000,5,1
1,339000000,1,1
1,2490000000,4,1
1,1100000000,2,1
1,4190000000,5,1
1,2600000000,4,1
1,2650000000,4,1
1,2170000000,4,1
1,420000000,1,3
1,2080000000,4,1
1,3140000000,4,1
1,1230000000,3,1
1,3825000000,5,1
1,2200000000,4,1
1,405000000,1,2
1,2100000000,4,1
1,1270000000,3,1
1,205000000,1,2
1,940000000,2,1
1,1250000000,3,1
1,2090000000,4,1
1,1740000000,3,1
1,2670000000,4,1
1,2720000000,4,1
1,2730000000,4,1
1,2550000000,4,1
1,2750000000,4,1
1,835000000,2,1
1,2210000000,4,1
1,2895000000,4,1
1,159500000,1,2
1,1430000000,3,1
1,1520000000,3,1
1,668000000,2,3
1,950000000,2,1
1,1945000000,3,1
1,690000000,2,3
1,2080000000,4,1
1,2700000000,4,1
1,450000000,1,2
1,630000000,2,3
1,598000000,2,3
1,3250000000,4,1
1,480000000,1,3
1,283000000,1,2
1,1800000000,3,1
1,925000000,2,1
1,2050000000,4,1
1,1140000000,2,1
1,3160000000,4,1
1,4200000000,5,1
1,2190000000,4,1
1,597000000,2,3
1,3770000000,5,1
1,2290000000,4,1
1,3475000000,4,1
1,2850000000,4,1
1,3650000000,5,1
1,2150000000,4,1
1,1890000000,3,1
1,2400000000,4,1
1,3010000000,4,1
1,3010000000,4,1
1,2700000000,4,1
1,2390000000,4,1
1,2670000000,4,1
1,780000000,2,3
1,1950000000,3,1
1,1997000000,3,1
1,200000000,1,2
1,1220000000,3,1
1,888000000,2,1
1,1078000000,2,1
1,500000000,1,3
1,2110000000,4,1
1,2480000000,4,1
1,2100000000,4,1
1,2015000000,4,1
1,2490000000,4,1
1,2695000000,4,1
1,4400000000,5,1
1,1470000000,3,1
1,1830000000,3,1
1,1830000000,3,1
1,2750000000,4,1
1,200000000,1,1
1,1520000000,3,1
1,970000000,2,1
1,4920000000,5,1
1,2270000000,4,1
1,3690000000,5,1
1,2100000000,4,1
1,1950000000,3,1
1,2410000000,4,1
1,520000000,2,3
1,2730000000,4,1
1,1020000000,2,1
1,360000000,1,2
1,1690000000,3,1
1,1300000000,3,1
1,3270000000,4,1
1,4400000000,5,1
1,1100000000,2,1
1,1200000000,2,1
1,590000000,2,2
1,2350000000,4,1
1,170000000,1,2
1,2640000000,4,1
1,203000000,1,2
1,3250000000,4,1
1,1190000000,2,1
1,1250000000,3,1
1,1340000000,3,1
1,1740000000,3,1
1,1445000000,3,1
1,6200000000,5,4
1,2450000000,4,1
1,2700000000,4,1
1,265000000,1,2
1,2500000000,4,1
1,2100000000,4,1
1,2930000000,4,1
1,590000000,2,3
1,480000000,1,3
1,405000000,1,2
1,2770000000,4,1
1,1700000000,3,1
1,2455000000,4,1
1,220000000,1,2
1,580000000,2,3
1,3340000000,4,1
1,3070000000,4,1
1,1350000000,3,1
1,320000000,1,2
1,1450000000,3,1
1,3050000000,4,1
1,2770000000,4,1
1,1150000000,2,1
1,1965000000,3,1
1,2650000000,4,1
1,2360000000,4,1
1,2420000000,4,1
1,2130000000,4,1
