market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,RSI,prev_close,change,gain,loss
KRW-BTC,2022-04-10,2022-04-10T09:00:00,53295000.0,53950000.0,52462000.0,52819000.0,1649635199988,121721077484.73825,2289.32077614,53258000.0,-439000.0,-0.0082428931,47.520406591714156,52934000.0,324000.0,324000.0,0.0
KRW-BTC,2022-04-11,2022-04-11T09:00:00,52799000.0,53060000.0,50010000.0,50050000.0,1649721599856,277983876671.78253,5382.92604992,52819000.0,-2769000.0,-0.052424317,36.24538583230797,53258000.0,-439000.0,0.0,439000.0
KRW-BTC,2022-04-12,2022-04-12T09:00:00,50050000.0,51195000.0,49608000.0,50577000.0,1649808000060,238179333127.62677,4730.16465608,50050000.0,527000.0,0.0105294705,23.964497041420117,52819000.0,-2769000.0,0.0,2769000.0
KRW-BTC,2022-04-13,2022-04-13T09:00:00,50577000.0,51947000.0,49936000.0,51700000.0,1649894400124,169540794582.5969,3335.41327752,50577000.0,1123000.0,0.0222037685,26.506819181698205,50050000.0,527000.0,527000.0,0.0
KRW-BTC,2022-04-14,2022-04-14T09:00:00,51645000.0,51942000.0,50000000.0,50245000.0,1649980799355,165648379824.71838,3240.36835635,51700000.0,-1455000.0,-0.0281431335,32.9119199777716,50577000.0,1123000.0,1123000.0,0.0
KRW-BTC,2022-04-15,2022-04-15T09:00:00,50275000.0,51286000.0,50079000.0,50850000.0,1650067199578,113924498278.0374,2259.85843932,50245000.0,605000.0,0.0120409991,32.48988548309676,51700000.0,-1455000.0,0.0,1455000.0
KRW-BTC,2022-04-16,2022-04-16T09:00:00,50807000.0,51100000.0,50251000.0,50567000.0,1650153599349,65131786307.86627,1285.87810755,50850000.0,-283000.0,-0.0055653884,30.52713287700233,50245000.0,605000.0,605000.0,0.0
KRW-BTC,2022-04-17,2022-04-17T09:00:00,50567000.0,50698000.0,49851000.0,49962000.0,1650239999698,82769167197.80688,1643.27108853,50567000.0,-605000.0,-0.0119643246,30.604881499823136,50850000.0,-283000.0,0.0,283000.0
KRW-BTC,2022-04-18,2022-04-18T09:00:00,49962000.0,51290000.0,48626000.0,50839000.0,1650326399823,197866042963.1782,3977.64433157,49962000.0,877000.0,0.0175533405,26.408027701222537,50567000.0,-605000.0,0.0,605000.0
KRW-BTC,2022-04-19,2022-04-19T09:00:00,50768000.0,51904000.0,50550000.0,51458000.0,1650412799532,144033858428.94022,2813.97753901,50839000.0,619000.0,0.0121756919,28.72981111415274,49962000.0,877000.0,877000.0,0.0
